# Magnetic material data,,,,,,,,,,,,,,,
# Each row defines one Steinmetz segment for a material.,,,,,,,,,,,,,,,
# A material is shown in the bar charts only when the entered frequency,,,,,,,,,,,,,,,
# falls within at least one of its freq_min/freq_max ranges.,,,,,,,,,,,,,,,
# Multiple rows for the same material = piecewise Steinmetz.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Core loss model:  Pv [kW/m^3] = k ¬∑ f[kHz]^alpha ¬∑ B[mT]^beta,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
material,mu,bsat_mT,freq_min_kHz,freq_max_kHz,k-25,alpha-25,beta-25,k-100,alpha-100,beta-100,type,manufacturer,notes,datasheet,Tags
ML95S,1100,530,500,999,8.14E-09,1.79,3.02,2.15E-10,2.01,3.536,MnZn,Proterial,Low core loss at the frequency 500kHz~1MHz,https://www.proterial.com/e/products/soft_magnetism/pdf/PR-EM13_MaDC-F.pdf#page=5,
ML95S,1100,530,1000,3000,1.64E-11,2.86,2.705,4.98E-13,3.24,2.898,MnZn,Proterial,Low core loss at the frequency 500kHz~1MHz,https://www.proterial.com/e/products/soft_magnetism/pdf/PR-EM13_MaDC-F.pdf#page=6,
ML91S,900,530,500,999,4.18E-10,1.94,3.335,2.34E-11,2.24,3.553,MnZn,Proterial,"Low core loss at the frequency 1MHz~3MHz; Transformer or Inductor using ML91S shall be designed under the condition of magnetic flux density, Bm, less than 50mT.",https://www.proterial.com/e/products/soft_magnetism/pdf/PR-EM13_MaDC-F.pdf#page=7,
ML91S,900,530,1000,3000,2.67E-11,2.53,2.929,2.73E-12,2.78,3.077,MnZn,Proterial,"Low core loss at the frequency 1MHz~3MHz; Transformer or Inductor using ML91S shall be designed under the condition of magnetic flux density, Bm, less than 50mT.",https://www.proterial.com/e/products/soft_magnetism/pdf/PR-EM13_MaDC-F.pdf#page=8,
ML24D,2400,490,25,200,4.35E-05,1.146599771,2.143272916,2.99E-07,1.414538397,2.768518328,MnZn,Proterial,Outstanding low power loss in high frequency range (≥100kHz),https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=14,
ML25D,2500,520,25,500,6.93E-06,1.378087421,2.276461387,1.82E-07,1.511750841,2.704383601,MnZn,Proterial,Outstanding low power loss in high frequency range (≥100kHz),https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=15,
ML33D,3300,530,25,100,2.42E-06,1.266056592,2.471546437,,,,MnZn,Proterial,Outstanding low power loss in high frequency range (≥100kHz),https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=16,min-loss-80C
MB19D,1900,530,25,200,1.12706E-05,1.208503866,2.36901664,,,,MnZn,Proterial,Outstanding saturation magnetic flux density from room temperature to high temperature (120°C).,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=17,min-loss-100C
MB20D,2000,540,25,200,1.93324E-05,1.183359075,2.257892769,,,,MnZn,Proterial,Outstanding saturation magnetic flux density from room temperature to high temperature (120°C).,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=18,min-loss-120C
MB28D,2800,530,25,200,1.64084E-06,1.41272329,2.467774613,,,,MnZn,Proterial,Outstanding saturation magnetic flux density from room temperature to high temperature (120°C).,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=19,min-loss-60C
